ID	UPCEAN	Name	CategoryID	CategoryName	BrandID	BrandName
4481693	041420244872	Lemonhead&friends Tropical chewy Fruit candy 6.6oz	1	Неклассифицированные/default	0	
4481694	041420003707	Lemonheads	1	Неклассифицированные/default	0	
4481695	075678239724	Lemonheads - it's a shame about ray	1	Неклассифицированные/default	0	
3150064	829364102911	Lemonheads wrapped	330591	Продукты питания (folder)/Продукты питания	0	
3150066	637776747114	Lemonint, lemonade, mint, Raspberry	330591	Продукты питания (folder)/Продукты питания	0	
3150067	641752925489	Lemonint, mint infused lemonade, Peach	330591	Продукты питания (folder)/Продукты питания	0	
2166421	8410407060064	Lemonoil Sun Oil tattoo spf15 rllon (cuida y realza piel tatuada)	1	Неклассифицированные/default	2016295	GENERAL
1522166	900000003240	Lemons	1	Неклассифицированные/default	0	
1522167	5030890217054	Lemons #2	622408	Продукты питания (folder)/Бакалея	0	
1522168	9062050000004	Lemons #3	330591	Продукты питания (folder)/Продукты питания	0	
3150069	095829400070	Lemons #5	330591	Продукты питания (folder)/Продукты питания	0	
4481698	092000017874	Lemons #6	1	Неклассифицированные/default	0	
4820403	09336292	Lemons (without postharvest treatment)	2058983	Продукты питания (folder)/Fruits and Vegetables	0	
4481699	011111040533	Lemons 140 1ct	1	Неклассифицированные/default	0	
4481700	406048070744	Lemons 165ct (k) 1ct	1	Неклассифицированные/default	0	
2620150	033383119076	Lemons 32oz #3	2058983	Продукты питания (folder)/Fruits and Vegetables	0	
2620152	033383140216	Lemons 32oz #5	2058983	Продукты питания (folder)/Fruits and Vegetables	0	
2620153	036515119067	Lemons 32oz #6	2058983	Продукты питания (folder)/Fruits and Vegetables	0	
2620154	078100043777	Lemons 32oz #7	2058983	Продукты питания (folder)/Fruits and Vegetables	0	
2620155	095829550027	Lemons 32oz #8	2058983	Продукты питания (folder)/Fruits and Vegetables	0	
2620158	033383119021	Lemons 5lb bag 5lb #2	2058983	Продукты питания (folder)/Fruits and Vegetables	0	
2620159	036515119012	Lemons 5lb bag 5lb #3	2058983	Продукты питания (folder)/Fruits and Vegetables	0	
2620157	033383119014	Lemons 5lb bag prepacked	2058983	Продукты питания (folder)/Fruits and Vegetables	0	
2620156	036515119029	Lemons 5lb bag prepacked #2	2508206	Продукты питания (folder)/Fruits and Vegetables Fresh	0	
2620160	089923040539	Lemons 75ct fancy lemons 75ct	2507362	Продукты питания (folder)/Fruits and Vegetables Frozen	0	
2620161	5011057090215	Lemons assorted iced caramels 120g	336091	Продукты питания (folder)/Sweets and Deserts	0	
4481701	080747411062	Lemons bag 2# 32oz	1	Неклассифицированные/default	0	
4481702	078100043449	Lemons bag 5# 80oz	1	Неклассифицированные/default	0	
4481703	470306353047	Lemons big buy 5# bag 5lb 8ct	1	Неклассифицированные/default	0	
4481704	470306115119	Lemons big buy 5# bag 80oz	1	Неклассифицированные/default	0	
1522169	078100043357	Lemons California fancy	1	Неклассифицированные/default	0	
2620149	033383115030	Lemons chilean 2# bag 32oz	2058983	Продукты питания (folder)/Fruits and Vegetables	0	
2620162	5011057092059	Lemons chocolate macaroons 120g	336091	Продукты питания (folder)/Sweets and Deserts	0	
2620148	033383115023	Lemons choice 2lb bag	2058983	Продукты питания (folder)/Fruits and Vegetables	0	
618052	9316389002889	Lemons Fruit&Cheese 120g	1	Неклассифицированные/default	0	
618053	9316389001271	Lemons garlic&chives	1	Неклассифицированные/default	0	
2620163	5011057080674	Lemons iced caramels 140g	336091	Продукты питания (folder)/Sweets and Deserts	0	
194273	5060049460192	Lemons kerry Foods 2 pack	36707	Продукты питания (folder)/Фрукты свежие	182560	Kerry Foods
4481705	406048070720	Lemons large 1ct 115ct	1	Неклассифицированные/default	0	
4481706	406048040532	Lemons large 95ct (k) 1ct	1	Неклассифицированные/default	0	
4481707	406048070713	Lemons large 95ct (k) 1ct 95ct	1	Неклассифицированные/default	0	
386492	10095010	Lemons large pack	1	Неклассифицированные/default	0	
2620165	077745309989	Lemons meyer 16oz #2	2058983	Продукты питания (folder)/Fruits and Vegetables	0	
2620166	803944301079	Lemons meyer 16oz #3	2058983	Продукты питания (folder)/Fruits and Vegetables	0	
2310331	073150410012	Lemons meyer 1lb bag	2058983	Продукты питания (folder)/Fruits and Vegetables	2310328	Dandy
2620167	036515115083	Lemons meyer 4 count bag	2058983	Продукты питания (folder)/Fruits and Vegetables	0	
2620164	045255128796	Lemons meyer prepacked	2058983	Продукты питания (folder)/Fruits and Vegetables	0	
2620169	077745304823	Lemons Mini bag 5 count bag	2058983	Продукты питания (folder)/Fruits and Vegetables	0	
2620170	5011057093919	Lemons mint iced caramels 114g	336091	Продукты питания (folder)/Sweets and Deserts	0	
