BrandID	BrandName	Count
3050743	!K7	2
303147	'N Rage	3
2207940	't Zand	2
796287	(Smi)e	11
3050746	+Entertainment	1
2506650	1 2 3	3
308929	1 Case of Zija Smart Mix - Moringa	1
2013536	1 De Beste	101
2507997	1-day	1
3050749	10 Easy Lessons	11
3050762	10 Percent	3
305255	10 Stars	1
302887	10%	3
2638658	100 Calorie Packs	3
2506872	100 Calorie Right Bites	3
550763	100 Organic & PURE	22
331337	100 Pipers	7
3050767	100% Educational Videos	8
2757307	100% Gold	4
2506927	100% Natural Foods	3
175413	100% Голд Премиум	5
331411	1001	32
3050777	101 Distribution	1
3050779	108 Media	1
2013942	11er	2
2507170	12 Beverage	2
2507172	12 Day	3
551112	123 Gluten Free	15
1717255	14 Hands	10
2507412	14 To Lean	1
2507541	15 Minute Dry Cleaner	1
2507865	18 Rabbits	4
181521	1800	58
2274574	1839	27
2275277	1860 Imperial Vodka	1
41808	1865	3
331566	1870	4
2507898	189 Harwood	3
2507937	1907 New Zealand Water	3
2066071	1916	2
181531	1919	2
128219	1921	4
316068	1st Choice	91
2508162	1st Step For Energy	3
2013655	1Toy	388
101372	1БФ Первая бисквитная фабрика	8
79966	1МФ	6
3490705	1С	11
2275040	1С Мультимедиа	941
2508208	2 Degrees	6
3050781	2 Degrees Productions	1
2952719	2 Gingers	2
2508225	2 Moms In The Raw	8
721980	2+2	4
2508409	20 Mule Team	1
2508434	2000 Flushes	2
2275338	2000PLUS	18
2506140	2080	7
881478	20th Century Fox	13
2508717	20thc	4
2278199	21	10
2508803	21st Century	9
3050783	21st Century UK	2
2508813	22 Days	16
3050786	221 Films	1
3050788	226 Film Production	1
297405	24 Day Challenge, MNS-C,Spark Fruit, Vanilla Shake	1
3050791	24 Ore Cultura	1
776030	28 Блэк	3
3050793	2B1 Records	7
2509366	2be	1
2275414	2BIO	10
260704	2C Самый Супер	24
2509379	2ente	19
3050801	2K Sounds	1
2509587	2l	12
3050808	2nd Life Film Production	1
3050810	2RS Studios	1
459210	2x3	10
672085	2С	11
1663509	2Х3 Украина	1
331721	3 Blind Moose	4
2165761	3 BRUJAS	6
1721863	3 Claveles	21
2509751	3 Crab	1
2016412	3 EN 1	2
2509755	3 Fellers	14
2275431	3 Generations	2
1362821	3 LITTLE PIGS BBQ	4
2066640	3 MELLIZAS	2
2509783	3 Second Health	2
2275434	3 Wilgen	44
882097	3 желания	52
124408	3 Корочки	183
39072	3 поросенка	25
2015065	3-Es	2
2509826	30 Minute Seder	2
3050814	303 Recordings	18
1714616	305'S	20
7420	32 Норма	153
65126	33 Коровы	27
52640	33 Удовольствия	12
3050835	33rd Street Records	1
553501	34 degrees	10
