CategoryID	CategoryName	Count
2021898	Accessories	13
205865	Acidophilus	20
2765675	ADSL оборудование	12
1981649	Adult Books	81
1980449	Adult Catalogs	8
1980650	Adult Costumes	2
1981044	Adult Dolls	134
1980351	Adult DVD	716
1980447	Adult DVD Catalog	3
1980282	Adult Educational DVDs	109
1987690	Adult Flesh Drives	16
1980280	Adult Games	358
1980440	Adult SAMPLES	4
1366327	Airline	3
214685	Alternative	10
2056975	Alternative Dairy Products	283
206277	Amino Acids	19
1386442	ANCHOVIES	19
2324679	ANTIANEMIC/PRE &POST NATAL VIT	1
2380342	ANTIANGINAL DRUGS	2
2303593	ANTIHISTAMINE & ANTIALLERGIES	3
2283960	ANTIHYPERLIPIDEMIC AGENTS	3
2307067	ANTIRHEUMATIC,ANTIINFLAM,ANALG	2
2382109	ANTITUBERCOLOSIS AGENT	3
1555863	APPLIANCES	2
223928	Asian Foods	5
1389597	ASTRINGENT	28
1728014	Automotive Parts and Accessories	327
1382774	BABY BATH SOAP	36
1382778	BABY OIL, LOTION & COLOGNE	85
1980692	Bachelorette	477
1384121	BACON	25
1384307	BAGS	94
1728979	BANANA CATSUP	16
201452	BAR SUPPLIES AND MIXERS	4
1377819	BARQUILLOS	112
2279868	BCAA	73
2278902	Beans or Peanut Butter	317
1376611	BIHON, CANTON & MISUA	42
2288206	BISCUITS	737
337189	Biscuits & Confectionary	963
1729316	Biss	116
1980401	Blowout Items	88
1457193	BODY OIL	65
1353121	Bodyart	35
1980215	Bondage	1103
4807465	Breakfast Cereal	136
188185	Breakfast Meals	13
4806277	Breakroom & Cleaning Supplies	1605
1385916	BREWED & BEANS COFFEE	38
1362666	BRUSHES & CLEANING PADS	122
1980358	Bulk Items	32
2013123	Butt plug	168
2562597	Buttermilk	17
2277397	Cachaca	9
1729796	CAKE & PASTRIES	29
1585575	CAKE DECORS	73
214657	Calcium	13
2020974	Candy, Chocolate & Sweeteners	278
2212017	Car Audio	5
1359440	Car Care	576
2027426	Cask	56
1386105	CATHETERS	15
4807507	Cheese or Tofu	138
181515	Cheesecake	175
2281661	CHEMICALS & GALINECALS	23
2570377	Chemicals, Lubricants, and Cleaners	100
1394317	CHICHARON & FISH/PRAWN CRACKERS	143
207123	Chinese Foods	4
2410471	CHOLAGOG,CHOLETHOL,HEPATIC PRO	1
208835	Chutney	6
2055428	Cider	180
900735	Cleaning Products	71
2560689	Clearance	23
1374136	CLING WRAP/FILM/WAX	24
2281291	Cocktail Bitters	28
181529	COCKTAILS	170
209111	Coffee subs	18
900461	Computer	34
2044726	Computer - server	218
2013776	Computer Accessories Cases	247
2015230	Computer Power Accessories	187
1388086	CONCENTRATED POWDERED DRINKS	336
908254	Condiments, Cooking Sauces & Pastes	131
2514427	Confec Chocolate	806
2530249	Confec Sugar	363
883240	Confectionery	1032
2520590	Confectionery Cereal	66
231399	Controller FIREWARE IEEE 1394	1
891550	Convenience Foods	109
2521710	Cooking Sauces & Acc	344
1364964	COOKING WINE	7
1730524	CORDIALS	266
7943	COSMETIC	5568
186164	COUGH & COLD	22
1372438	Count Lines	96
210258	Cous Cous/ N. African	71
215365	CPU	35
1388073	Creamer	60
2310657	CULINARY	1257
1375503	Dairies&Decoction	99
2193146	Dairy Products, Wholesale Ingredients	57
1	default	1951210
1373249	DEODORIZER	54
2014173	Desktop Accessories	283
2022351	Desktops	125
1382449	DESSICATED COCONUT	34
949259	DFRAME	4
210851	Digital Camera	791
189124	DIPS	42
1512257	DIRECT BRANDED	5
2023310	Docking Stations	51
2514216	Dry Legumes or Dry Peas	124
949270	DVD RECORDER	8
1394138	E-Pay	93
978419	Ecological Alternatives	31
979479	Elbow Fitting	215
2765677	Electrical and Audio	172
2277384	Eligible Medical Foods	4
197290	ENERGY BARS	6
212527	Ethnic Foods	39
211695	Evening Primrose Oil	88
4807142	Exempt Infant Formula (EXP)	6
1380354	FACIAL CLEANER, WASH & SCRUB	461
209138	Fake Meats	8
1368584	Fancy items	50
2581076	Fathers Day	6
1731685	FCPM	3
1424511	FERTILIZER	19
904657	Festive Products	47
1373140	FILLED MILK	44
1376160	FILLING/TOPPINGS(/SYRUP)	17
2613385	Fire Safety and Detection	28
2352182	FIRST AIDS AND INSTRUMENTS	260
1388203	FISH - FRESH WATER	47
207988	Fish Oils	27
1377011	FISH SAUCE	39
1413960	FISH/SQUID BALLS	60
432997	Flash memory	3381
214253	Flavoured Green Tea	15
1980360	Floor / Counter Displays	43
1402781	FLOOR WAX	30
2583713	FM-модуляторы (Трансмиттеры)	7
4806634	Folders, Binders & Accessories	713
1371118	FOLLOW-ON/GROWING UP MILK	181
206557	Foods Supplements	520
1396417	Fortified Wine	42
2528141	Frames And Albums	41
1411548	FRENCH FRIES	28
2554771	Frozen concentrate	23
2023762	Frozen Meals	88
183586	FRUIT SNACKS & GRANOLA BARS	23
214672	Fruit Teas	54
2058983	Fruits and Vegetables	10418
2511557	Fruits and Vegetables Canned	321
2508206	Fruits and Vegetables Fresh	1022
2507362	Fruits and Vegetables Frozen	1026
1388827	FTG-FILLED PANDESAL	26
1388854	FTG-PANDESALAN	19
1510108	FTG-QUICK MEALS	8
1373112	Full Cream Milk	99
966682	GACCESSORIES	62
2281065	Generic Breakroom & Cleaning Supplies	1445
2378432	GENITO URINARY SYSTEM	1
1507682	GERMICIDE	35
1376713	Ghee	73
1478242	GINGER POWDERED	7
1375168	GLAZE MIX/GULAMAN/SAGO	54
1377502	GLOVES & MASK	32
222921	Glucosamine	11
208079	Gluten Free	36
949219	GPS	102
2021991	Grains, Beans, & Flour	322
1367139	HABA/SUNDRIES	153
1009426	Hair Extensions	33
1540683	HAIR MEDICATED SHAMPOO	52
602130	Halloween	444
1370357	HAND & BODY LOTION	257
1382000	HAND SANITIZER	344
2527466	Handy Tray Pipe Nipple Assortments - 6	2
1980132	Hardware	10875
1981853	Hazardous Materials	34
2011059	HDD	1036
297057	Health & Personal Care	4384
1388151	HEALTH DRINK	38
2282550	HERBAL	9
2015972	Herbs, Spices & Other Ingredients	47
1980722	Holiday Items	48
1735683	Home	1479
